,Load,TimeStamps
0,24.0,2019-01-01 00:00:00
1,18.0,2019-01-01 00:30:00
2,14.0,2019-01-01 01:00:00
3,12.0,2019-01-01 01:30:00
4,10.0,2019-01-01 02:00:00
5,10.0,2019-01-01 02:30:00
6,10.0,2019-01-01 03:00:00
7,14.0,2019-01-01 03:30:00
8,10.0,2019-01-01 04:00:00
9,10.0,2019-01-01 04:30:00
10,14.0,2019-01-01 05:00:00
11,22.0,2019-01-01 05:30:00
12,28.0,2019-01-01 06:00:00
13,40.0,2019-01-01 06:30:00
14,42.0,2019-01-01 07:00:00
15,60.0,2019-01-01 07:30:00
16,,2019-01-01 08:00:00
17,68.0,2019-01-01 08:30:00
18,,2019-01-01 09:00:00
19,,2019-01-01 09:30:00
20,68.0,2019-01-01 10:00:00
21,76.0,2019-01-01 10:30:00
22,74.0,2019-01-01 11:00:00
23,74.0,2019-01-01 11:30:00
24,54.0,2019-01-01 12:00:00
25,54.0,2019-01-01 12:30:00
26,48.0,2019-01-01 13:00:00
27,38.0,2019-01-01 13:30:00
28,34.0,2019-01-01 14:00:00
29,38.0,2019-01-01 14:30:00
30,36.0,2019-01-01 15:00:00
31,32.0,2019-01-01 15:30:00
32,30.0,2019-01-01 16:00:00
33,30.0,2019-01-01 16:30:00
34,32.0,2019-01-01 17:00:00
35,40.0,2019-01-01 17:30:00
36,42.0,2019-01-01 18:00:00
37,42.0,2019-01-01 18:30:00
38,42.0,2019-01-01 19:00:00
39,46.0,2019-01-01 19:30:00
40,44.0,2019-01-01 20:00:00
41,40.0,2019-01-01 20:30:00
42,36.0,2019-01-01 21:00:00
43,36.0,2019-01-01 21:30:00
44,32.0,2019-01-01 22:00:00
45,32.0,2019-01-01 22:30:00
46,32.0,2019-01-01 23:00:00
47,26.0,2019-01-01 23:30:00
48,20.0,2019-01-02 00:00:00
49,14.0,2019-01-02 00:30:00
50,12.0,2019-01-02 01:00:00
51,10.0,2019-01-02 01:30:00
52,10.0,2019-01-02 02:00:00
53,10.0,2019-01-02 02:30:00
54,10.0,2019-01-02 03:00:00
55,12.0,2019-01-02 03:30:00
56,8.0,2019-01-02 04:00:00
57,12.0,2019-01-02 04:30:00
58,18.0,2019-01-02 05:00:00
59,24.0,2019-01-02 05:30:00
60,26.0,2019-01-02 06:00:00
61,34.0,2019-01-02 06:30:00
62,42.0,2019-01-02 07:00:00
63,56.0,2019-01-02 07:30:00
64,62.0,2019-01-02 08:00:00
65,70.0,2019-01-02 08:30:00
66,80.0,2019-01-02 09:00:00
67,80.0,2019-01-02 09:30:00
68,78.0,2019-01-02 10:00:00
69,72.0,2019-01-02 10:30:00
70,72.0,2019-01-02 11:00:00
71,74.0,2019-01-02 11:30:00
72,66.0,2019-01-02 12:00:00
73,56.0,2019-01-02 12:30:00
74,54.0,2019-01-02 13:00:00
75,42.0,2019-01-02 13:30:00
76,40.0,2019-01-02 14:00:00
77,34.0,2019-01-02 14:30:00
78,32.0,2019-01-02 15:00:00
79,28.0,2019-01-02 15:30:00
80,32.0,2019-01-02 16:00:00
81,32.0,2019-01-02 16:30:00
82,36.0,2019-01-02 17:00:00
83,38.0,2019-01-02 17:30:00
84,40.0,2019-01-02 18:00:00
85,42.0,2019-01-02 18:30:00
86,44.0,2019-01-02 19:00:00
87,40.0,2019-01-02 19:30:00
88,40.0,2019-01-02 20:00:00
89,40.0,2019-01-02 20:30:00
90,40.0,2019-01-02 21:00:00
91,40.0,2019-01-02 21:30:00
92,40.0,2019-01-02 22:00:00
93,32.0,2019-01-02 22:30:00
94,24.0,2019-01-02 23:00:00
95,20.0,2019-01-02 23:30:00
